ID,space_alias_name,space_type,space_category,department_occupied
1786,Lobby between loft spaces,Balance Space,Other,Balance
1787,DRESSING ROOM LEVELO 268.29,Social Space,Support,Social Space Streatham
1788,Storage,Storage Space,Support,Residence Operations
1789,Doctoral College PGR Admin Office,Office,Support,Doctoral College
1790,Main Lobby,Balance Space,Other,Balance
1791,Cleaners Cupboard - Auditorium,Balance Space,Other,Balance
1792,Pot Wash,Other Space,Residential,Residence Operations
1793,Media Suite Office - XTV,Other Space,Other,Student Guild
1794,Delivery Bay,Balance Space,Other,Balance
1795,Clinical Research Network Top-up store room,Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
1796,Staff Office,Office,Other,University College Falmouth
1797,Estate Patrol Training Equipment Store,Storage Space,Support,Estate Patrol
1798,PBL,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1799,Gallery Store (Chair Store),Storage Space,Other,Student Guild
1800,Lift 01,Balance Space,Other,Balance
1801,Circulation - Good  Lifts Lobby,Balance Space,Other,Balance
1802,Power Loom,Specialist Area,Other,University College Falmouth
1803,Reception & Waiting area,Balance Space,Other,Balance
1804,Entrance Vestibule,Balance Space,Other,Other
1805,Photo Studio - Small 4,Specialist Area,Other,University College Falmouth
1806,Finance Ops & Procurement [PS Connect],Storage Space,Support,PS Connect (Finance)
1807,Stair/Corridor,Balance Space,Other,Balance
1808,Balance Space Level 16,Balance Space,Residential,Balance
1809,Photo Studio - Large 3,Specialist Area,Other,University College Falmouth
1810,Student Guild Study Space,Other Space,Other,Student Guild
1811,Post Room,Other Space,Support,FXplus HS
1812,Accessible WC,Other Space,Other,University College Falmouth
1813,Entrance Hall,Balance Space,Other,Balance
1814,Electrical HV Substation,Balance Space,Other,Balance
1815,Waiting Area,Balance Space,Other,Balance
1816,Student Services (Room 8),Other Space,Support,Wellbeing Services
1817,Staff Workroom,Office,Other,University College Falmouth
1818,Muslim Prayer Brothers,Other Space,Support,Multi-faith Chaplaincy
1819,Technician Store,Laboratory,Academic - Faculty,University of Exeter Medical School
1820,Corridor between B8 and B12A,Balance Space,Other,Balance
1821,Stair 3,Balance Space,Other,Other
1822,Sub Station,Balance Space,Other,Balance
1823,Dishwash,Central Catering,Support,Social Space Penryn
1824,Lechner Discussion Room,Study Space,Academic - Faculty,University of Exeter Business School
1825,Academic office,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1826,Server,Other Space,Support,Combined Services
1827,Racked Lecture Theatre 2,Lecture Theatre,Academic - Central,Penryn CBS
1828,Coffee Point,Balance Space,Other,Balance
1829,Bar,Central Catering,Support,Catering and Food Services
1830,Tutorial Room 1,Seminar Room,Other,University College Falmouth
1831,AHU,Balance Space,Other,Balance
1832,Corridor,Other Space,Other,University College Falmouth
1833,Academic,Office,Academic - Faculty,Chinese (ML)
1834,Freezer Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1835,Executive Support Office,Office,Support,Combined Services
1836,CHAPEL - SPECIALIST FACILITY,Other Space,Other,Social Space Streatham
1837,Oil Tank,Balance Space,Other,Balance
1838,Staff WC,Balance Space,Other,Third Party Accounts
1839,Stairs in West Wing,Balance Space,Other,Balance
1840,Compressor Room,Specialist Area,Other,University College Falmouth
1841,Switchroom,Balance Space,Other,Balance
1842,Roof Space,Balance Space,Other,Balance
1843,SEC.,Other Space,Support,Combined Services
1844,Tank,Balance Space,Other,Balance
1845,Workshop Store,Storage Space,Academic - Faculty,Geography
1846,Female Staff WC,Balance Space,Residential,Balance
1847,Meeting Room,Meeting Room,Support,Exeter Innovation
1848,Reception - Wellcome Trust Centre,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1849,Meeting Room,Meeting Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
1850,Campus Bands,Other Space,Other,Student Guild
1851,Roof Void,Balance Space,Other,Balance
1852,Film Loading 1,Specialist Area,Other,University College Falmouth
1853,Breakout space,Balance Space,Other,Balance
1854,Office,Office,Support,Banking Operations
1855,Office,Office,Support,Hubs
1856,Lift 3,Balance Space,Other,Balance
1857,Academic Office,Office,Academic - Faculty,Geography
1858,The Bill Douglas Cinema,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
1859,Gas,Balance Space,Other,Balance
1860,Flexible Student Space,Study Space,Academic - Faculty,Faculty of Health and Life Sciences
1861,Hallway,Balance Space,Other,Balance
1862,Admin,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1863,Wellbeing - VACANT,Office,Support,Wellbeing Operations
1864,Cinema Store,Other Space,Other,University College Falmouth
1865,Guild Collaboration Station,Meeting Room,Other,Student Guild
1866,CGR Meeting Room,Meeting Room,Support,Student Cases
1867,Colonnade Chamber Room,Leisure Facilities,Other,Student Guild
1868,Isolation / Flexible Space,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1869,Store,Storage Space,Other,Student Guild
1870,Lobby,Balance Space,Other,Other
1871,Clinic Room 9,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1872,Project Room,Specialist Area,Other,University College Falmouth
1873,Seminar Room RSSR,Seminar Room,Academic - Faculty,"Communications, Drama and Film"
1874,Student Wellbeing,Office,Support,Wellbeing Services
1875,Student Admin Office - Falmouth,Office,Other,University College Falmouth
1876,Yellow Seminar,Seminar Room [PS],Academic - Central,Penryn CBS
1877,PG Desks,Office,Academic - Faculty,University of Exeter Business School
1878,PC Cluster,Computer Room,Support,Combined Services
1879,Disability Support,Other Space,Support,Combined Services
1880,Kitchen Dining,Balance Space,Other,Balance
1881,Managers Office,Other Space,Other,Third Party Accounts
1882,Heating Ducts,Balance Space,Other,Balance
1883,Innovation Space,Other Space,Support,Exeter Innovation
1884,Net Space component,Other Space,Residential,FXplus Estates
1885,Small Room 1,Other Space,Other,Student Guild
1886,Research Services & IIB Meeting Room,Meeting Room,Support,Cornwall (RDM)
1887,"Postgraduate Office, plus hot desks",Office,Academic - Faculty,Geography
1888,Estate Patrol Office,Office,Support,Estate Patrol
1889,Elec/Plant,Balance (Building Service) Space,Other,Balance
1890,Furniture Store,Storage Space,Residential,Residence Operations
1891,Office,Office,Support,Education and Academic Services
1892,Open Plan Office,Office,Support,Global Advancement
1893,Lab Store,Storage Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
1894,Lecture Theatre 1,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
1895,Post Grad Seminar Room,Specialist Area,Other,University College Falmouth
1896,Female Change,Balance Space,Other,Other
1897,AV Technicians Office,Office,Support,Combined Services
1898,Ram Bar,Central Catering,Support,Catering and Food Services
1899,Biocatalysis Plant (Liquid Nitrogen),Balance (Building Service) Space,Other,Balance
1900,Staff Offices,Other Space,Residential,Residence Operations
1901,EAS - Strategic Support Team,Office,Support,Education and Academic Services
1902,Seminar Mobile 7,Seminar Room,Academic - Central,Penryn CBS
1903,Accessible WC,Balance Space,Other,Other
1904,Toilet / Shower (AWC),Balance Space,Other,Balance
1905,PCR Cycler Room,Specialist Area,Other,Other
1906,Office,Office,Residential,Residence Operations
1907,Teaching Laboratory,Laboratory,Academic - Faculty,Medical Imaging (Radiography)
1908,Aquarium Plant Room,Balance (Building Service) Space,Other,Balance
1909,Primary Base Science area,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1910,Digital Humanities Lab 3,Specialist Area,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1911,Store,Storage Space,Support,Electrical Team
1912,First Aid Room,Other Space,Support,Health and Safety
1913,Store next to WC,Storage Space,Other,University
1914,Guild - Voice,Other Space,Other,Student Guild
1915,Balance Space Level 13,Balance Space,Residential,Balance
1916,En-Suite Bedroom,Bedroom,Other,University
1917,IT Room,Computer Room,Residential,Residence Operations
1918,H&S,Office,Support,Health and Safety
1919,Dirty Laboratory,Specialist Area,Academic - Faculty,Geography
1920,LT2 lobby,Balance Space,Other,Balance
1921,Net Residential space,Other Space,Residential,Residence Operations
1922,Digital Humanities Seminar 1,Seminar Room,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
1923,AV room,Other Space,Academic - Central,Centrally Bookable Space
1924,Office,Office,Support,Student Wellbeing and Welfare
1925,Foyer Stairs,Balance Space,Other,Balance
1926,Music Store 2,Other Space,Other,Student Guild
1927,Academic Office - UKRI,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
1928,Wood Workshop,Specialist Area,Other,University College Falmouth
1929,General Preparation,Central Catering,Support,Social Space Penryn
1930,Research Services - Cornwall Cluster & IIB,Office,Support,Cornwall (Research Finance)
1931,Kitchen Area,Other Space,Support,Combined Services
1932,Seminar Room D,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1933,Copy Room 1,Specialist Area,Other,University College Falmouth
1934,Dry Room/PPE,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
1935,Photo Studio - Large 4,Specialist Area,Other,University College Falmouth
1936,Academic,Office,Academic - Faculty,"Social and Political Sciences, Philosophy, and Anthropology"
1937,Energy Policy Group Post Grad - Exeter,Office,Academic - Faculty,Geography
1938,Plant Room,Balance Space,Other,Balance
1939,Senate Chamber,Meeting Room [PS],Support,Centrally Bookable Space
1940,Students Systems Development Team,Office,Other,University College Falmouth
1941,Caf̩ / Social Area,Social Space,Other,Student Guild
1942,Office,Library,Support,Combined Services
1943,Female Locker Room,Other Space,Support,Estate Patrol
1944,Coffee/Event Bar,Social Space,Support,Social Space Penryn
1945,Office Technician 4,Office,Other,University College Falmouth
1946,Circulation - Kitchen,Balance Space,Other,Balance
1947,Service Yard Office,Office,Support,Forum
1948,Garage,Other Space,Residential,Residence Operations
1949,Mezz Plant,Balance (Building Service) Space,Other,Balance
1950,Basement Lobby,Balance Space,Other,Balance
1951,Childrens WC,Balance Space,Other,Balance
1952,Back Office,Office,Support,Hubs
1953,Bar Lobby,Balance Space,Other,Balance
1954,Store,Storage Space,Support,Event Exeter
1955,Main Corridor,Balance Space,Other,Balance
1956,Unisex WCs,Balance Space,Other,Balance
1957,Super Savour Kitchen,Central Catering,Support,Catering and Food Services
1958,Data Visualisation Suite / Seminar Room,Lecture Theatre,Academic - Faculty,"Faculty of Environment, Science and Economy"
1959,1:1 room (Meerkat),Office,Support,Hubs
1960,Staff Common Room,Social Space,Support,Social Space Streatham
1961,Reception,Other Space,Residential,Residence Operations
1962,Sonication Room,Specialist Area,Other,Other
1963,Catering,Other Space,Support,Catering and Food Services
1964,Store,Storage Space,Other,University College Falmouth
1965,Rear Vestibule,Balance Space,Other,Balance
1966,FXU Store,Storage Space,Other,Guild Penryn
1967,Access Equipment,Storage Space,Support,Stores
1968,IT Suite Room 1,Computer Room,Other,Other
1969,Garage 1,Other Space,Other,University
1970,Cupboard in Male Changing,Balance Space,Other,Balance
1971,Dining,Other Space,Other,Other
1972,LT3 foyer,Balance Space,Other,Balance
1973,FXU Counselling Room,Other Space,Other,Guild Penryn
1974,STAFF STUDY/RESEARCH (ESRC),Office,Academic - Faculty,Faculty of Health and Life Sciences
1975,Staff WC,Balance Space,Other,Balance
1976,Hot Lab,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
1977,Link corridor to house,Balance Space,Other,Balance
1978,Meeting Room 5,Meeting Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
1979,Tank Room,Balance Space,Residential,Balance
1980,Textile Store,Specialist Area,Other,University College Falmouth
1981,Old Reception Area,Social Space,Other,Social Space Streatham
1982,El Riser,Balance Space,Other,Balance
1983,Lab Store,Specialist Area,Other,Other
1984,Seminar Room 2 / The Michael Axworthy Seminar Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
1985,Office,Storage Space,Support,"Finance, Infrastructure and Commercial Services"
1986,IT Suite Room 2,Computer Room,Other,Other
1987,Main Corridor/Circulation Space,Balance Space,Other,Balance
1988,Open Plan Office,Office,Academic - Faculty,University of Exeter Business School
1989,Stairway,Other Space,Other,University College Falmouth
1990,Elected Officers office,Office,Other,Student Guild
1991,Meeting Room 4,Meeting Room,Academic - Faculty,Clinical and Biomedical Sciences
1992,Hub Room ( North),Other Space,Support,University
1993,DRESSING ROOM LEVEL 268.29,Social Space,Support,Social Space Streatham
1994,Print,Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
1995,Staff Common Room,Social Space,Academic - Faculty,Faculty of Health and Life Sciences
1996,Reporting Room,Office,Academic - Faculty,Clinical and Biomedical Sciences
1997,Doctoral College PGR Support Team,Office,Support,Doctoral College
1998,Flat Lobby,Bedroom,Residential,Residence Operations
1999,Stairs,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2000,Clinical Skills Teaching Room 3,Seminar Room,Other,Other
2001,Matrix LT,Lecture Theatre [PS],Academic - Central,Centrally Bookable Space
2002,Balance Space Level 4,Balance Space,Residential,Balance
2003,Accessible WC,Balance Space,Residential,Balance
2004,Female Staff Changing Room,Balance Space,Residential,Balance
2005,Balance Space Level 11,Balance Space,Residential,Balance
2006,Reception,Other Space,Other,Third Party Accounts
2007,Baker,Specialist Area,Other,University College Falmouth
2008,Landing Corridor,Balance Space,Other,Balance
2009,Main Lobby/Corridor,Balance Space,Other,Balance
2010,Accessible Toilet - SSC,Balance Space,Other,Balance
2011,Duct Services,Balance Space,Other,Balance
2012,Open Plan Office,Office,Academic - Faculty,University of Exeter Medical School
2013,Senior Common Room,Social Space,Support,Social Space Streatham
2014,Riser - Student Advice Unit,Balance Space,Other,Balance
2015,Circ down to cellar,Balance Space,Other,Balance
2016,Quick Ref./OPAC,Library,Support,Combined Services
2017,Old Lang lab,Other Space,Support,Combined Services
2018,Meeting Room,Meeting Room,Support,Research Services
2019,Vending area,Balance Space,Other,Balance
2020,Cold Room,Storage Space,Support,Catering and Food Services
2021,Guild Activity Space 3,Other Space,Other,Student Guild
2022,Meeting Room,Meeting Room,Academic - Faculty,Faculty of Health and Life Sciences
2023,IT,Computer Room,Residential,Residence Operations
2024,Deep Tank Process,Specialist Area,Other,University College Falmouth
2025,CHUMS - PS Staff,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2026,Store,Storage Space,Support,"Finance, Infrastructure and Commercial Services"
2027,Bookable Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2028,Store Switch Room,Balance Space,Other,Balance
2029,External Plant,Balance (Building Service) Space,Other,Other
2030,Cross Keys,Study Space [PS],Support,Education and Academic Services
2031,Office Store AV Technician,Office,Support,Combined Services
2032,Pearson Teaching Room,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2033,Equipment Lab,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2034,Room F2 - Currently vacant (03/12/2013),Other Space,Other,University
2035,Workroom - Digital Photo 2,Specialist Area,Other,University College Falmouth
2036,Admin Office + Visitors - Wellcome Trust Centre,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2037,Catering Store / service link to Terrace,Central Catering,Support,Catering and Food Services
2038,Lobby FWC,Balance Space,Other,Balance
2039,Office (1 occupant),Office,Academic - Faculty,University of Exeter Medical School
2040,Core D,Balance Space,Other,Balance
2041,Academic,Office,Academic - Faculty,German (FLC)
2042,Print Dye,Specialist Area,Other,University College Falmouth
2043,Landing,Balance Space,Residential,Balance
2044,Stair Store,Balance Space,Other,Balance
2045,Print Finish & Print Reception,Specialist Area,Other,University College Falmouth
2046,Amory Hub desk,Office,Support,Hubs
2047,A/R Studio,Other Space,Other,University College Falmouth
2048,Geography Technician,Office,Academic - Faculty,Geography
2049,Exercise Studio,Leisure Facilities,Support,FXplus Estates
2050,Store,Storage Space,Support,Data Integration and Collaborative Environments
2051,[G22 new large teaching space],Specialist Area,Academic - Faculty,University of Exeter Medical School
2052,Transformer,Balance Space,Other,Balance
2053,Guild Store,Storage Space,Support,Catering and Food Services
2054,Male Staff Toilet,Balance Space,Other,Balance
2055,Projection room,Other Space,Other,University College Falmouth
2056,Office 1 Academic,Office,Academic - Faculty,Communications Studies
2057,Walk-in Cold Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2058,Accessible WC lobby,Balance Space,Other,Balance
2059,Dust Extractor,Specialist Area,Other,University College Falmouth
2060,Administration EAs,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2061,Law Library,Library,Support,Combined Services
2062,Seminar Room - Catherine Masterman,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2063,Sisters Ablution,Other Space,Support,Multi-faith Chaplaincy
2064,Clinic Room 14,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2065,Business Intelligence Office,Office,Support,Data (Digital)
2066,Journalism - Falmouth,Office,Other,University College Falmouth
2067,Student Services (Room 13),Other Space,Support,International Student Support
2068,General Stores 1,Storage Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2069,Brothers Prayer Room,Other Space,Support,Multi-faith Chaplaincy
2070,Presentation Studio,Specialist Area,Other,University College Falmouth
2071,Elec Riser,Balance Space,Other,Balance
2072,Circulation (horizontal)-Forum Mezzanine,Balance Space,Other,Balance
2073,Store - Seminar,Storage Space,Support,University
2074,Accessibility Lift,Balance Space,Other,Balance
2075,Lemon Grove Female WC lobby,Balance Space,Other,Balance
2076,PA Space,Office,Support,Office of Vice-Chancellor and Senior Executive
2077,Experimental Area,Specialist Area,Academic - Faculty,Geography
2078,Male WC & Shower,Balance Space,Other,Balance
2079,Elec Switch Room,Balance Space,Other,Balance
2080,Lobby 1,Balance Space,Other,Balance
2081,Porch,Balance Space,Other,Balance
2082,Academic Office (VC),Office,Support,Office of Vice-Chancellor and Senior Executive
2083,Cone Winder,Specialist Area,Other,University College Falmouth
2084,Guild Lounge/Kitchen,Other Space,Other,Student Guild
2085,Lift Motor Room,Balance (Building Service) Space,Other,Balance
2086,Staff Room,Other Space,Other,Third Party Accounts
2087,Academic - English (Penryn staff),Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2088,Design and Publication,Office,Support,Design Studio
2089,Boardroom,Meeting Room,Academic - Central,Penryn CBS
2090,Main Lab,Laboratory,Academic - Faculty,University of Exeter Medical School
2091,Tech Office,Office,Other,University College Falmouth
2092,Training,Other Space,Support,Combined Services
2093,Delegate Room,Specialist Area,Other,University College Falmouth
2094,Fresh Ideas Kitchen,Central Catering,Support,Catering and Food Services
2095,Cool Room,Specialist Area,Academic - Faculty,Geography
2096,Store Room,Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
2097,Boiler,Balance Space,Other,Balance
2098,Riser / Plant,Balance (Building Service) Space,Other,Balance
2099,Shared Microscopy,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2100,Biocatalysis Hallway,Balance Space,Other,Balance
2101,E Test Observation Laboratory,Laboratory,Academic - Faculty,University of Exeter Medical School
2102,Maintenance Cupboard,Balance Space,Other,Balance
2103,Lift Plant Room,Balance (Building Service) Space,Other,Third Party Accounts
2104,Tank Room,Balance (Building Service) Space,Other,Balance
2105,PCC Meeting Room,Meeting Room,Support,Hubs
2106,Corridor outside Guild Activity Space 3,Balance Space,Other,Balance
2107,"Store, Cleaners",Balance Space,Other,Balance
2108,Senior Research Administrator,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2109,Accessible WC / Shower,Balance Space,Other,Balance
2110,Main Staircase,Balance Space,Other,Balance
2111,WC Lobby,Balance Space,Residential,Balance
2112,Wood & Metal Workshop,Specialist Area,Other,University College Falmouth
2113,Seminar Room 7,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2114,Room F5 - Currently vacant (03/12/2013),Other Space,Other,University
2115,Bathroom,Other Space,Other,University
2116,Ground Floor Balance Space,Balance Space,Other,Balance
2117,CHUM hotdesk [access via Queen's 3rd],Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2118,Terrace Restaurant Servery,Central Catering,Support,Catering and Food Services
2119,Professional Writing Room,Other Space,Other,University College Falmouth
2120,Cabaret Space,Leisure Facilities,Other,Student Guild
2121,Office Technician,Office,Other,University College Falmouth
2122,Seminar Room,Teaching/PC Cluster [PS],Academic - Central,Centrally Bookable Space
2123,RILD Meeting Room,Meeting Room,Other,University
2124,Laboratory,Storage Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2125,Tutorial Room,Seminar Room,Other,University College Falmouth
2126,International Support Back Office (Room 14),Office,Support,International Student Support
2127,Bike Store,Balance Space,Other,Balance
2128,Camper Coffee - Store/Prep,Retail Outlets,Other,Third Party Accounts
2129,Textile Studio,Specialist Area,Other,University College Falmouth
2130,Music Store,Other Space,Other,Student Guild
2131,Meeting Room,Meeting Room,Academic - Faculty,Medical Imaging (Radiography)
2132,Lecture Theatre - Raked Floor,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2133,UEMS Computer Room,Computer Room,Academic - Faculty,University of Exeter Medical School
2134,Plastic Workshop,Specialist Area,Other,University College Falmouth
2135,Retail Lift Lobby,Balance Space,Other,Balance
2136,Terrace Restaurant,Central Catering,Support,Catering and Food Services
2137,VR Laboratory,Other Space,Academic - Faculty,"Faculty of Environment, Science and Economy"
2138,Accessible Changing,Balance Space,Other,Balance
2139,Office,Office,Support,"Student Access, Recruitment and Admissions"
2140,La Touche Kitchen,Central Catering,Support,Catering and Food Services
2141,IT Training Room,Computer Room,Academic - Central,Penryn CBS
2142,Balance Space Level 1,Balance Space,Residential,Balance
2143,UG Mac Computer Room,Computer Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2144,Store 4,Balance Space,Other,Balance
2145,Lift Access to Lobby,Balance Space,Other,Balance
2146,Electrical Intake,Balance Space,Other,Balance
2147,Restaurant Servery,Central Catering,Support,Social Space Penryn
2148,Courtyard Lobby,Balance Space,Other,Balance
2149,Clinic Room 15,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2150,"Office, plus hot desks",Office,Academic - Faculty,University of Exeter Medical School
2151,Plant Room  - Lobby,Balance (Building Service) Space,Other,Balance
2152,Tel Recruit / Hot Desking,Office,Academic - Faculty,Clinical and Biomedical Sciences
2153,DH1 Office Pod,Office,Other,Student Guild
2154,Entrance Lobby,Balance Space,Other,Balance
2155,Level 4 Offices,Office,Academic - Faculty,Clinical and Biomedical Sciences
2156,Stairs adjoining Gallery,Balance Space,Other,Balance
2157,Seminar Room 12 / The Sara and Nigel Tozzi Seminar,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2158,PGR workstations,Office,Academic - Faculty,Geography
2159,CB Meeting Room,Meeting Room [PS],Support,Centrally Bookable Space
2160,Stairs to First Floor,Balance Space,Other,Balance
2161,Acc WC,Balance Space,Residential,Balance
2162,Counselling Room,Office,Other,Guild Penryn
2163,Breakout / Study Space,Balance Space,Other,Balance
2164,Meeting Room 5,Meeting Room,Academic - Faculty,Clinical and Biomedical Sciences
2165,Server,Other Space,Academic - Faculty,Clinical and Biomedical Sciences
2166,E Test Laboratory,Laboratory,Academic - Faculty,University of Exeter Medical School
2167,Store (Bateman LT),Storage Space,Academic - Central,Centrally Bookable Space
2168,Locks Store,Workshops,Support,Stores
2169,Classroom Inducton 1,Specialist Area,Other,University College Falmouth
2170,Zone 11 - Undercroft Air Handling,Balance (Building Service) Space,Other,Balance
2171,Main lobby doors,Balance Space,Other,Balance
2172,Caf̩,Study Space [PS],Support,Education and Academic Services
2173,Toilet Corridor,Balance Space,Other,Balance
2174,Male Staff WC & Shower,Balance Space,Residential,Balance
2175,Volunteering and Activity zone,Other Space,Other,Student Guild
2176,Storage,Other Space,Other,University College Falmouth
2177,Exam 1 (store),Storage Space,Academic - Faculty,Clinical and Biomedical Sciences
2178,ASU store room,Storage Space,Support,Education and Academic Services
2179,Map Store and Reference,Storage Space,Support,Combined Services
2180,Seminar Room see 3.004,Seminar Room,Academic - Central,Penryn CBS
2181,TQAE Meeting Room,Meeting Room,Support,Learning Experiences and Innovation
2182,Support Office,Office,Academic - Faculty,Clinical and Biomedical Sciences
2183,Microbiology,Laboratory,Academic - Faculty,"Faculty of Environment, Science and Economy"
2184,Animation Studio,Specialist Area,Other,University College Falmouth
2185,UoE PC Suite (64 PCs),Computer Room,Academic - Central,Penryn CBS
2186,Lemon Grove Male WC,Balance Space,Other,Balance
2187,Computer Room,Computer Room,Academic - Faculty,"Faculty of Environment, Science and Economy"
2188,Planning department,Office,Support,Strategic Planning
2189,Digital Humanities Lab 1,Specialist Area,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2190,Gym,Leisure Facilities,Support,FXplus Estates
2191,Office,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2192,Stair 09a,Balance Space,Other,Balance
2193,Dry Lab,Laboratory,Academic - Faculty,University of Exeter Medical School
2194,Living Support,Office,Support,Student Services Penryn
2195,Music Tech,Specialist Area,Other,University College Falmouth
2196,Ward 1,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2197,Level +1 Balance Space,Balance Space,Other,Balance
2198,Green Room,Meeting Room [PS],Support,Centrally Bookable Space
2199,Anteroom,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2200,Elec/BMS,Balance Space,Other,Balance
2201,Ante Room,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2202,Office 1,Office,Academic - Faculty,Clinical and Biomedical Sciences
2203,Lift Maintenance,Balance Space,Other,Balance
2204,Studio 2,Specialist Area,Academic - Faculty,"Communications, Drama and Film"
2205,Flim Loading 2,Specialist Area,Other,University College Falmouth
2206,Exploration Lab 1,Teaching/PC Cluster [PS],Academic - Central,Centrally Bookable Space
2207,Outer Foyer,Balance Space,Other,Balance
2208,Post-doc Meeting Room,Meeting Room,Academic - Faculty,Geography
2209,Business Open Study,Office,Academic - Faculty,University of Exeter Business School
2210,Rear Foyer,Balance Space,Other,Balance
2211,Riser 6,Balance Space,Other,Balance
2212,Main Circulation Space,Balance Space,Other,Balance
2213,Auditorium -  Hub Room,Other Space,Support,University
2214,Goods In / Loading Lobby,Balance Space,Other,Balance
2215,Plumbers Store,Workshops,Support,Stores
2216,Seminar Room 6,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2217,Main stairs - landing,Balance Space,Other,Balance
2218,Unisex Toilet Lobby,Balance Space,Other,Balance
2219,Strategic Support Office,Office,Support,Education and Academic Services
2220,Admin Support,Office,Academic - Faculty,University of Exeter Medical School
2221,Main Reception,Office,Academic - Faculty,"Faculty of Humanities, Arts and Social Sciences"
2222,Volunteering and Activity desk / circ,Other Space,Other,Student Guild
2223,DFO Office,Office,Academic - Faculty,"Faculty of Environment, Science and Economy"
2224,Clinical Skills Store,Storage Space,Other,Other
2225,Tutor,Office,Support,Combined Services
2226,Dyslexia Office,Office,Other,Guild Penryn
2227,Plantroom 2,Balance (Building Service) Space,Other,Balance
2228,Balcony,Balance Space,Other,Balance
2229,FICS Mother & Baby space,Other Space,Support,"Finance, Infrastructure and Commercial Services"
2230,Clinic Room 13,Specialist Area,Academic - Faculty,Clinical and Biomedical Sciences
2231,Cleaners Cupboard,Balance Space,Residential,Balance
2232,Stair 9 (Street),Balance Space,Other,Balance
2233,Meeting Room,Meeting Room,Support,Education and Academic Services
2234,EDI and Wellbeing,Office,Support,Colleague Health and Wellbeing
2235,Dry Store,Storage Space,Support,Catering and Food Services
2236,Seminar Room 8,Seminar Room [PS],Academic - Central,Centrally Bookable Space
2237,Entrance Porch,Balance Space,Residential,Balance
2238,CoachBright,Other Space,Other,Third Party Accounts
2239,Foyer,Balance Space,Other,Balance
2240,Academic,Office,Academic - Faculty,Chinese (FLC)
2241,The Richard Jones Laboratory - Microscope Lab,Specialist Area,Academic - Faculty,Geography
2242,Assistant Director's Office,Office,Support,Education and Academic Services
2243,Seminar Mobile 5,Seminar Room,Academic - Central,Penryn CBS
2244,Single Bedroom - First Floor (not ground),Bedroom,Residential,Residence Operations
2245,DH1 counter office,Other Space,Other,Student Guild
2246,Office,Office,Support,Catering and Food Services
